========================================================================================================================
QUIMICORP PERU S.A.C. — CATALOGO MAESTRO CONSOLIDADO OFICIAL (INVENTARIO FISICO 2026)
FECHA DE CORTE: 02/09/2026 | ACTUALIZADO: 07/09/2026
ESTANDAR: 281 PRODUCTOS CANONICOS | STOCK FISICO TOTAL SUMADO | ORDEN ALFABETICO (A-Z) POR FAMILIAS
========================================================================================================================

========================================================================================================================
SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS GENERALES (INS-001 AL INS-164)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
INS-117  | NEUTRADOR MASCOTAS                     | 305 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-118  | NEUTRADOR NEW B.                       | 300 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-119  | NEUTRADOR ORINE DE MASCOTAS            | 313 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-120  | NEUTRADOR VAM                          | 309 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-121  | NEUTRALIZADOR QP700                    | 38,850 g       | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-122  | NIACINAMIDA VITAMINA B3                | 15,800 g       | POLVO                | ACTIVOS Y ACIDOS
INS-123  | NP10                                   | 46,954 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-124  | OXIDO DE ZINC                          | 15,241 g       | POLVO                | MINERALES Y CARGAS
INS-125  | PARAFINA LIQUIDA                       | 1,160 g        | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-126  | PARAFINA SOLIDA                        | 10,080 g       | BLOQUE               | SILICONAS Y EMOLIENTES
INS-127  | PEROXIDO                               | 15,000 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-128  | POLISORBATO 20                         | 42,930 g       | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-129  | POLISORBATO 80                         | 8,452 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-130  | POLYQUATERNARIUM 7                     | 10,966 g       | LIQUIDO              | ACTIVOS Y ACIDOS
INS-131  | PRILOCAINA HCL                         | 70 g           | POLVO (USP)          | ACTIVOS Y ACIDOS
INS-132  | PROCIDE 1.5                            | 864 g          | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-133  | PROCIDE CG                             | 18,654 g       | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-134  | PROPILENGLICOL                         | 120 g          | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-135  | PROPIONATO DE SODIO                    | 102 g          | POLVO                | CONSERVANTES Y REGULADORES
INS-136  | PROTEINA HIDROLIZADA DE SOYA           | 3,325 g        | POLVO                | ACTIVOS Y ACIDOS
INS-137  | RESINOX                                | 40,000 g       | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-138  | SAL                                    | 6,000 g        | POLVO                | MINERALES Y CARGAS
INS-139  | SILICATO DE SODIO                      | 2,882 g        | LIQUIDO              | MINERALES Y CARGAS
INS-140  | SILICONA 1000                          | 18,906 g       | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-141  | SILICONA 1501                          | 9,216 g        | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-142  | SILICONA 3031                          | 73,092 g       | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-143  | SILICONA 350                           | 3,943 g        | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-144  | SILICONA A LA GRASA                    | 51,790 g       | GRASA / PASTA        | SILICONAS Y EMOLIENTES
INS-145  | SILICONA EMULSIONADA                   | 1,600 g        | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-146  | SILICONA XIAMETER                      | 1,000 g        | LIQUIDO / SILICONA   | SILICONAS Y EMOLIENTES
INS-147  | SORBATO DE POTASIO                     | 4,301 g        | GRANO                | CONSERVANTES Y REGULADORES
INS-148  | SORBITOL                               | 4,984 g        | LIQUIDO              | HUMECTANTES Y SOLVENTES
INS-149  | TALCO                                  | 24,130 g       | POLVO                | MINERALES Y CARGAS
INS-150  | TAURINA                                | 486 g          | POLVO                | ACTIVOS Y ACIDOS
INS-151  | TERBINAFINA HCL                        | 514 g          | POLVO                | ACTIVOS Y ACIDOS
INS-152  | TETRACAINA HCL                         | 1,031 g        | POLVO                | ACTIVOS Y ACIDOS
INS-153  | TEXAPON (TEXAPON 70%)                  | 85,000 g       | PASTA / LIQUIDO      | TENSOACTIVOS
INS-154  | TRIETANOLAMINA (TEA)                   | 1,086 g        | LIQUIDO              | CONSERVANTES Y REGULADORES
INS-155  | TRIETIL CITRATO                        | 4,015 g        | LIQUIDO              | ACTIVOS Y ACIDOS
INS-156  | UREA                                   | 9,500 g        | POLVO                | ACTIVOS Y ACIDOS
INS-157  | VAINILLINA                             | 2,218 g        | POLVO                | ACTIVOS Y ACIDOS
INS-158  | VARSOL                                 | 1,490.79 g     | LIQUIDO / LIQUIDO (L) | HUMECTANTES Y SOLVENTES
INS-159  | VASELINA LIQUIDA                       | 100,000 g      | LIQUIDO              | SILICONAS Y EMOLIENTES
INS-160  | VASELINA SOLIDA                        | 82,500 g       | BLOQUE / PASTA       | SILICONAS Y EMOLIENTES
INS-161  | VINAGRE DE MANZANA                     | 6,617 g        | LIQUIDO              | ACTIVOS Y ACIDOS
INS-162  | VITAMINA E                             | 2,378 g        | LIQUIDO              | ACTIVOS Y ACIDOS
INS-163  | VITAMINA E EN POLVO                    | 1,000 g        | POLVO                | ACTIVOS Y ACIDOS
INS-164  | ZACARINA (SACARINA)                    | 1,586 g        | GRANO                | ACTIVOS Y ACIDOS
========================================================================================================================
TOTAL MATERIAS PRIMAS E INSUMOS QUIMICOS (INS): 164
========================================================================================================================

========================================================================================================================
SECCION 2: FRAGANCIAS Y ESENCIAS LIQUIDAS (FRAG-001 AL FRAG-067)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
---------+----------------------------------------+----------------+----------------------+--------------------------
FRAG-001 | FRAGANCIA ALOE VERA                    | 383 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-002 | FRAGANCIA ARIEL INTENSE                | 317 g          | LIQUIDO              | FRAGANCIAS
FRAG-003 | FRAGANCIA ARIS ACTIFIT                 | 634 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-004 | FRAGANCIA AVENA Y MIEL                 | 1,627 g        | LIQUIDO              | FRAGANCIAS
FRAG-005 | FRAGANCIA B INTENSE                    | 1,076 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-006 | FRAGANCIA BABY AMERICA SOL             | 9 g            | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-007 | FRAGANCIA BABY POWERS                  | 200 g          | LIQUIDO              | FRAGANCIAS
FRAG-008 | FRAGANCIA BELLE                        | 57 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-009 | FRAGANCIA BLUE CHANEL                  | 184 g          | LIQUIDO              | FRAGANCIAS
FRAG-010 | FRAGANCIA BORN IN ROMA                 | 188 g          | LIQUIDO              | FRAGANCIAS
FRAG-011 | FRAGANCIA BOSMAN                       | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-012 | FRAGANCIA BOSQUE BAMBU                 | 179 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-013 | FRAGANCIA BRITNEY SPEARS               | 4,219 g        | LIQUIDO              | FRAGANCIAS
FRAG-014 | FRAGANCIA CALVIN KLEIN                 | 4,720 g        | LIQUIDO              | FRAGANCIAS
FRAG-015 | FRAGANCIA CANELA Y MANZANA             | 2,307 g        | LIQUIDO              | FRAGANCIAS
FRAG-016 | FRAGANCIA CARO LA ROSE                 | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-017 | FRAGANCIA CHERRY                       | 226 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-018 | FRAGANCIA CHICLE MIX                   | 69 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-019 | FRAGANCIA COCO INTENSE                 | 3,553 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-020 | FRAGANCIA COCO PASION                  | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-021 | FRAGANCIA DELICATE FLOWERS             | 513 g          | LIQUIDO              | FRAGANCIAS
